,title,link,content
0,https://www.mosaiquefm.net/fr/mercato/727331/juve-mauro-icardi-dans-le-viseur,Juve : Mauro Icardi dans le viseur,"Auteur d’un début de saison époustouflant avec le Paris Saint-Germain, l’attaquant argentin, Mauro Icardi a ensuite disparu des écrans radars en raison de son différend avec le coach, Thomas Tuchel.  Agacé par sa situation au parc des princes, Mauro Icardi sera sur le départ lors du prochain Mercato vu que le club parisien n’est pas disposé à payer les 70 millions d’euros demandés par l’Inter Milan, pour lever l’option d’achat de l’Argentin. Aux dernières nouvelles, Icardi est courtisé par plusieurs clubs européens dont la Juve qui veut un buteur confirmé pour pallier l’éventuel départ de Gonzalo Higuain (32 ans). D’après la Gazzetta dello Sport, la vieille dame est disposée à mettre Pjanic et Alex Sandro, courtisés par le PSG, dans la balance pour tenter de convaincre les parisiens de laisser partir Icardi. Toutefois, ce deal dépend d’un transfert définitif du joueur au PSG…   "
1,https://www.mosaiquefm.net/fr/actualite-regional-tunisie/727307/secousse-tellurique-a-skhira,Secousse tellurique à Skhira ,"Les stations sismologiques de l’Institut national de météorologie ont enregistré ce lundi 20 avril 2020 vers 7 heures 27 minutes une secousse d’une magnitude de 3,05 degrés sur l’échelle de Richter.   Selon les premières analyses, l’épicentre de cette secousse est situé à l’ouest de la délégation de Skhira au gouvernorat de Sfax.     "
2,https://www.mosaiquefm.net/fr/actualites-internationales/727303/canada-16-morts-lors-d-une-fusillade,Canada : 16 morts lors d’une fusillade,"Un homme armé a tué au moins 16 personnes, parmi lesquelles une policière, pour une raison encore inconnue dans la nuit de samedi à dimanche en Nouvelle-Ecosse (Canada), lors de la pire tuerie de ce genre qu'ait connu le Canada. L'homme de 51 ans, un prothésiste dentaire selon les médias, a été tué dimanche en fin de matinée à l'issue d'une vaste chasse à l'homme d'une douzaine d'heures dans toute la province de l'est du Canada. Lors de sa cavale meurtrière, Gabriel Wortman a notamment circulé au volant d'une voiture semblable à celles de la police, portant au moins une partie d'un uniforme de policier. Il a semé la mort en plusieurs endroits, dans des circonstances et pour une raison encore mystérieuses qui ont choqué le pays. Les fusillades de masse sont rares au Canada, contrairement au voisin américain. La responsable nationale de la Gendarmerie royale du Canada (GRC, police fédérale), Brenda Lucki, a indiqué à plusieurs chaînes que le bilan était d'au moins 13 morts, avant d'annoncer en milieu de soirée un nouveau bilan d'au moins 16 morts, en plus du tueur, selon les chaînes CBC et CTV. Les motivations de Gabriel Wortman doivent encore être éclaircies par l'enquête. ""Il est trop tôt pour parler de motivation"", a expliqué lors d'un point presse le responsable des enquêtes criminelles de la police fédérale de Nouvelle-Écosse Chris Leather, qui avait dans un premier temps fait état de ""plus de 10 morts"". Plusieurs victimes ""ne semblent pas avoir de lien avec le tireur"", a-t-il noté. Mais ""le fait que cet individu disposait d'un uniforme et d'une voiture de police laisse certainement penser que ce n'était pas un acte spontané"". Mme Lucki a pour sa part indiqué que cet acte n'était pas considéré à ce stade comme de nature terroriste. La tuerie a commencé samedi en fin de soirée dans la petite commune rurale de Portapique, une bourgade d'une centaine d'âmes à environ 130 kilomètre de la capitale Halifax. Plusieurs victimes ont été découvertes devant et à l'intérieur d'une maison où la police a été appelée après des signalements de coups de feu. L'auteur présumé de ces meurtres avait pris la fuite à l'arrivée de la police, déclenchant une vaste chasse à l'homme. Les habitants de la région, déjà confinés par l'épidémie de coronavirus, ont été priés de s'enfermer chez eux par les autorités. L'homme en fuite est ""armé et dangereux'"", avait prévenu la police, conseillant même aux habitants de se réfugier dans leur sous-sol si possible. (Source: AFP) "
3,https://www.mosaiquefm.net/fr/actualite-regional-tunisie/727299/tataouine-nouveau-cas-de-guerison-a-tataouine,Tataouine : Nouveau cas de guérison à Tataouine,"Le directeur régional de la santé à Tataouine, Ibrahim Gharghar a annoncé dans une déclaration accordée à Mosaïque FM qu’un nouveau cas de guérison vient d’être enregistré dans la région. Notons que 32 cas de coronavirus ont été recensés à Tataouine depuis le début de l’épidémie, dont 8 guéris.   "
4,https://www.mosaiquefm.net/fr/football/727295/farouk-ben-mustapha-n-a-pas-ete-rapatrie-d-arabie-saoudite,Farouk Ben Mustapha n’a pas été rapatrié d’Arabie Saoudite,"Le gardien, Farouk Ben Mustapha qui dispute sa dernière saison avec son club saoudien, Al-Shabab n’était pas parmi les Tunisiens qui ont été rapatriés ce matin 20 avril de l’Arabie Saoudite via l’aéroport Djerba-Zarzis. Le nom de Ben Mustapha figure sur la première liste des Tunisiens qui devaient être rapatriés mais il a été remplacé à la dernière minute par l’ex-défenseur du CSS, Mahmoud ben Salah dont la mère est décédée récemment. "
5,https://www.mosaiquefm.net/fr/actualite-national-tunisie/727267/les-etudiants-rejoindraient-les-bancs-de-l-universite-mi-juin,Les étudiants rejoindraient les bancs de l'université mi-juin ,"Lors d'une interview télévisée diffusée ce dimanche 19 avril, le chef du gouvernement, Elyes Fakhfakh, a déclaré que les élèves des classes terminales reprendraient les cours à partir de mi-mai jusqu'à mi-juin. Les examens nationaux se tiendraient début juillet 2020, selon lui. "
6,https://www.mosaiquefm.net/fr/actualite-national-tunisie/727263/238-tunisiens-venus-des-pays-du-golfe-rapatries,"238 Tunisiens venus des pays du Golfe, rapatriés","238 Tunisiens résidant dans nombre de pays du Golfe ont été rapatriés, ce dimanche 19 avril 2020, à bord d'un avion venu de Djeddah et atterri à l'aéroport Djerba-Zarzis. Parmi ces Tunisiens, figurent des sportifs tels que Karim Aouadhi, Saad Bguir, Fizas Chaouat, Farouk Ben Mustapha er Mourad Okbi. Ils ont été tous transférés à l'un des hôtels de la zone touristique de l'île afin d'entrer en isolement sanitaire.    "
7,https://www.mosaiquefm.net/fr/actualite-national-tunisie/727259/une-aide-sociale-exceptionnelle-pour-140-mille-retraites,Une aide sociale exceptionnelle pour 140 mille retraités,"Le chef du gouvernement, Elyes Fakhfakh, a déclaré, ce dimanche 19 avril lors d'une interview accordée à al-Watania, que des aides sociales exceptionnelles seront distribuées à partir du mois de mai. Il s'agit d'une prime exceptionnelle de 100 dinars à verser pour 140 mille retraités dont le salaire ne dépasse pas les 180 dinars. "
8,https://www.mosaiquefm.net/fr/actualite-national-tunisie/727251/200-mille-tests-de-depistage-rapide-du-covid-19-seront-disponibles,200 mille tests de dépistage rapide du Covid-19 seront disponibles,"Le chef du gouvernement, Elyes Fakhfakh, a déclaré, ce dimanche 19 avril lors d'une interview accordée à al-Watania, que 200 mille tests de dépistage rapide du Coronavirus seront disponibles à partir du 20 avril courant. "
9,https://www.mosaiquefm.net/fr/mercato/727331/juve-mauro-icardi-dans-le-viseur,Juve : Mauro Icardi dans le viseur,"Auteur d’un début de saison époustouflant avec le Paris Saint-Germain, l’attaquant argentin, Mauro Icardi a ensuite disparu des écrans radars en raison de son différend avec le coach, Thomas Tuchel.  Agacé par sa situation au parc des princes, Mauro Icardi sera sur le départ lors du prochain Mercato vu que le club parisien n’est pas disposé à payer les 70 millions d’euros demandés par l’Inter Milan, pour lever l’option d’achat de l’Argentin. Aux dernières nouvelles, Icardi est courtisé par plusieurs clubs européens dont la Juve qui veut un buteur confirmé pour pallier l’éventuel départ de Gonzalo Higuain (32 ans). D’après la Gazzetta dello Sport, la vieille dame est disposée à mettre Pjanic et Alex Sandro, courtisés par le PSG, dans la balance pour tenter de convaincre les parisiens de laisser partir Icardi. Toutefois, ce deal dépend d’un transfert définitif du joueur au PSG…   "
