,link,title,type,content
0,https://www.mosaiquefm.net/fr/football/735265/cristiano-ronaldo-est-attendu-a-turin,Cristiano Ronaldo est attendu à Turin,Football ,"La grande star du calcio Cristiano Ronaldo est attendue à Turin et les joueurs peuvent reprendre l'entraînement individuel, mais rien ne dit que le championnat reprendra en Italie, qui a allégé lundi ses mesures de confinement. Le jet privé du Portugais a atterri aujourd’hui à Madère, sa ville natale ce qui laisse présager un retour imminent à Turin. Ceux qui espéraient que le feu vert du gouvernement à une reprise des entraînements individuels annonçait un rapide retour à la compétition, ont vite été douchés par le ministre des Sports, Vincenzo Spadafora. ""Je lis des choses étranges, mais rien n'a changé par rapport à ce que j'ai toujours dit sur le football: les entraînements (collectif) des équipes ne reprendront pas avant le 18 mai et la reprise du championnat, on n'en parle pas du tout pour l'instant"", a-t-il écrit sur Facebook.   "
1,https://www.mosaiquefm.net/fr/actualites-sport-tunisie/735081/italie-les-entrainements-individuels-autorises-pour-tous-les-sports,Italie: Les entraînements individuels autorisés pour tous les sports ,Sport,"Le gouvernement italien a donné dimanche son feu vert pour une reprise ce lundi des entraînements individuels pour tous les sports, y compris des disciplines collectives comme le football. ""Les sportifs, professionnels ou non, de disciplines non individuelles, sont autorisés, comme tous les citoyens, à faire de l'exercice dans des espaces publics ou privés, tout en respectant les règles de distanciation sociale d'au moins deux mètres, ainsi que l'interdiction de tout rassemblement"", selon un décret du ministère de l'Intérieur. Initialement la reprise des entraînements pour les sports collectifs était fixée le 18 mai, mais plusieurs régions avaient décidé samedi de devancer cet appel et d'autoriser les clubs, notamment de football, à ouvrir les portes de leurs centres d'entraînement pour permettre à leurs joueurs d'y faire de l'exercice, en extérieur et à distance les uns des autres. Une décision du gouvernement est attendue quant à une reprise ou non du Championnat d'Italie, interrompu depuis le 9 mars, à 12 journées de la fin de la compétition. Les vingt clubs de Serie A ont fait part, à plusieurs reprises, de leur intention d'achever l'exercice en cours, mais le ministre des Sports Vincenzo Spadafora a prévenu que le chemin était ""de plus en plus étroit"".    "
2,https://www.mosaiquefm.net/fr/volleyball/734921/volleyball-le-championnat-arabe-reporte,Volleyball : Le championnat arabe reporté,VolleyBall,"La 21e édition du championnat arabe (messieurs), initialement prévue en Tunisie en septembre prochain, a été reportée à novembre/décembre 2020, annonce l'Union Arabe de volley-ball. Le 19e championnat arabe féminin et le 1er championnat de beach volley féminin, prévus au Maroc en août 2020 , ont été également reportés à août 2021.   "
3,https://www.mosaiquefm.net/fr/football-ligue-1-pro-tunisie/734469/ess-iheb-msakni-subit-une-operation-chirurgicale,ESS: Iheb Msakni subit une opération chirurgicale,Ligue 1 Pro,"Le milieu de terrain de l'Etoile sportive du sahel Iheb Msakni a subi une opération chirurgicale au niveau de son genou gauche, ce samedi 2 mai 2020, a annoncé le club dans un communiqué. Le joueur sera absent des entraînements pour une durée de trois semaines. "
4,https://www.mosaiquefm.net/fr/football/734297/angleterre-tous-les-clubs-favorables-a-une-reprise,Angleterre: Tous les clubs favorables à une reprise,Football ,"Tous les clubs de Premier League veulent terminer la saison malgré ""de nombreux obstacles"" à la reprise du championnat, suspendu par la pandémie de nouveau coronavirus, a assuré ce samedi la vice-présidente de West Ham, Karren Brady. Lors d'une réunion vendredi, les vingt clubs de Premier League ont été informéss des projets de redémarrage, qui incluent le fait que les 92 matches restants de la saison 2019-2020 devraient être disputés sur terrain neutre. ""Durant la réunion d'hier, chaque club a déclaré qu'il souhaitait que la saison reprenne"", a écrit Brady dans une chronique publiée samedi par le journal The Sun. ""Tout compromis doit être équitable et respecter l'intégrité du jeu"", a-t-elle souligné alors qu'il demeure une opposition à l'idée de ne pas terminer la saison 2019-20 sur la base de matches à domicile et à l'extérieur. ""Les joueurs et entraîneurs doivent être les principaux décideurs en matière de protocoles, car il y a encore beaucoup de chemin à parcourir avant de pouvoir jouer à nouveau"", a ajouté l'ancienne directrice générale du club de Birmingham. ""Il y a beaucoup d'obstacles à surmonter et sans doute beaucoup de compromis à faire"", a-t-elle mis en garde. Le directeur général de Brighton, Paul Barber, avait déclaré jeudi que l'idée de ne pas jouer de matches à domicile et à l'extérieur était une ""imperfection supplémentaire"" en plus du fait que les matches se dérouleront à huis clos. Avant que les projets de retour au jeu puissent progresser, les clubs de la Premier League doivent également se pencher sur les questions épineuses des tests et de la santé des joueurs. Les joueurs, les entraîneurs et les membres du staff technique seraient testés deux ou trois fois par semaine et pourraient être contraints de se mettre en quarantaine dans des hôtels loin de leur famille pour aider à prévenir la propagation du virus. La proposition de sites neutres par la Premier League vise à réduire le nombre de personnel médical, de sécurité, et de diffusion TV et radio nécessaire à chaque match. ""Il est clair que le lieu des matchs lorsque le championnat reprendra sera soumis à l'approbation du gouvernement et des autorités compétentes"", a expliqué Karren Brady. ""Ils pourraient argumenter que les terrains neutres protègent mieux le bien-être de toutes les personnes impliquées et réduisent la charge des services publics comme la police et les ambulances"", a-t-elle prévenu.    "
5,https://www.mosaiquefm.net/fr/football-ligue-1-pro-tunisie/733993/ftf-projet-de-retour-du-championnat-guide-des-procedures-sanitaires,FTF - Projet de retour du championnat: Guide des procédures sanitaires,Ligue 1 Pro,"La Fédération tunisienne de football a publié, ce vendredi 1er mai, un guide des procédures sanitaires pour le projet de retour du championnat de Ligue 1. Dans son guide, la FTF a abordé la question du retour aux entraînements avec le système de groupes restreints, la stérilisation des vestiaires, du banc des remplaçants et de tous les espaces fermés, ainsi que le regroupement des joueurs à Tunis et leur isolation dans un hôtel pour une durée d'une semaine ou deux avant le début des matchs officiels et jusqu'à la fin de la saison.     "
6,https://www.mosaiquefm.net/fr/actualite-midi-show/735229/harouni-le-gouvernement-fakhfakh-a-maitrise-le-coronavirus,Harouni : Le gouvernement Fakhfakh a maîtrisé le coronavirus (Vidéos),Midi Show,"Le président du conseil de la choura du mouvement Ennahdha, Abdelkarim Harouni a indiqué dans Midi Show que le gouvernement de Elyès Fakhfakh a réussi à maîtriser le coronavirus et ce grâce à la coordination des efforts des différentes autorités concernées. Il a également affirmé qu’il est prématuré d’évaluer le rendement du gouvernement.   Sur un autre plan, Abdelkarim Harouni a salué les positions de l’opposition qui a contribué à la délégation du pouvoir à Elyès Fakhafakh et a soutenu activement le gouvernement pendant cette période de crise. Harouni a, en outre, appelé les citoyens à se conformer aux consignes du ministère de la santé pour éviter une deuxième vague de l’épidémie.      "
7,https://www.mosaiquefm.net/fr/actualite-national-tunisie/735201/elyes-ben-miled-mauvais-debuts-de-anouar-maarouf,Elyès Ben Miled : Mauvais débuts de Anouar Maârouf,Nationales,"Le secrétaire général-adjoint de la fédération générale du transport, Elyès Ben Miled a considéré dans une déclaration accordée à Mosaïque FM que les débuts du Ministre d'État chargé du transport et de la logistique, Anouar Maârouf à la tête du ministère sont médiocres. Il a affirmé que Anouar Maârouf veut instrumentaliser un soupçon de corruption relatif au processus de réparation de deux moteurs d’avions de Tunisair. Il a ajouté que le dossier a été transmis à la justice depuis 2018 mais les autorités judiciaires n’ont pas encore tranché sur cette affaire. 






volume





0:00






0:00


JavaScript is required.


Play / pause








Elyes Ben Miled








 "
8,https://www.mosaiquefm.net/fr/actualite-politique-tunisie/735181/harouni-le-scenario-du-sit-in-errahil-ne-se-repetera-pas,Harouni : Le scénario du sit-in Errahil ne se répétera pas,Politiques,"En réponse aux appels à la dissolution du parlement et la désobéissance civile, le président du conseil de la choura du mouvement Ennahdha, Abdelkarim Harouni a indiqué dans une conférence de presse tenue ce lundi 4 mai 2020, que le sit-in Errahil a eu lieu une seule fois et a débouche sur un dialogue national. Il a ajouté que ce scénario ne se répètera pas. Il a souligné que son parti ne s’intéresse pas à ces appels et qu’il est préoccupé plutôt par l’économie nationale. Sur un autre plan, Abdelkarim Harouni a affirmé que ceux qui se sont opposés aux conventions avec la Turquie et le Qatar, soit parce qu’ils ne sont pas suffisamment informés, soit ils ont des problèmes idéologiques avec certains pays ou avec Ennahdha. Il a indiqué également que son parti n’approuve pas des conventions qui portent atteintes à la souveraineté nationale. "
9,https://www.mosaiquefm.net/fr/sciences/735169/l-afrique-du-sud-teste-les-effets-du-bcg-contre-le-coronavirus,L'Afrique du Sud teste les effets du BCG contre le coronavirus,Sciences et Technologies,"Cinq cents soignants sud-africains ont commencé lundi au Cap (sud-ouest) à tester les éventuels effets protecteurs contre le Covid-19 du bon vieux vaccin utilisé depuis plus d'un siècle pour se protéger de la tuberculose (BCG). ""L'essai clinique a commencé, nous avons vacciné les premiers participants ce matin"", a déclaré à l'AFP Duncan McDonald, un des responsables de l'organisation de recherche médicale TASK qui mène l'expérience. Ce test - 250 soignants recevront une injection de BCG et 250 autres un placebo - est conduit à l'hôpital Tygerberg sous la direction du Pr Andreas Diacon, le patron de TASK. ""Certaines observations suggèrent que le BCG a des effets sur le système immunitaire que nous ne comprenons pas encore totalement, notamment qu'il le renforce contre les infections respiratoires"", a indiqué à l'AFP le Pr Diacon. Des études ont ainsi prouvé que les enfants immunisés par le BCG souffraient moins de maladies respiratoires. D'autres travaux suggèrent qu'il pourrait protéger de l'asthme et des maladies auto-immunes comme le diabète de type 1. Les scientifiques cherchent à démontrer qu'il pourrait avoir des effets bénéfiques similaires contre le coronavirus. ""S'il était possible de réduire juste un peu les symptômes de cette épidémie de Covid-19, cela permettrait d'augmenter les chances de survie, d'éviter des hospitalisations voire de tomber malade"", a espéré le Pr Andreas Diacon. L'étude clinique du Cap est menée sur des soignants ""car nous pensons qu'ils sont les plus exposés"", a-t-il ajouté. Quelque 300.000 personnes - un des taux les plus élevés au monde - contractent chaque année la tuberculose en Afrique du Sud, selon l'Organisation mondiale de la santé (OMS). Tous les nouveaux-nés y sont vaccinés par le BCG mais la maladie a fait environ 63.000 en l'année 2018. Des études cliniques équivalentes à celle du Cap sont actuellement conduites aux Pays-Bas, en Australie et en France pour démontrer un éventuel effet bouclier du BCG. Leurs résultats n'ont pas encore été publiés. "
